iter	Passed	Remaining
0	0	21
1	0	21
2	0	21
3	0	19
4	1	19
5	1	19
6	1	19
7	1	19
8	1	18
9	2	18
10	2	18
11	2	18
12	2	18
13	2	17
14	3	17
15	3	17
16	3	16
17	3	16
18	3	16
19	4	16
20	4	15
21	4	15
22	4	15
23	4	15
24	5	15
25	5	15
26	5	14
27	5	14
28	5	14
29	6	14
30	6	14
31	6	13
32	7	14
33	7	14
34	8	15
35	9	16
36	9	16
37	9	15
38	9	15
39	10	15
40	10	14
41	10	14
42	10	13
43	10	13
44	10	13
45	11	13
46	11	12
47	11	12
48	11	12
49	12	12
50	12	11
51	12	11
52	12	11
53	12	11
54	13	10
55	13	10
56	13	10
57	13	9
58	13	9
59	14	9
60	14	9
61	14	8
62	14	8
63	14	8
64	15	8
65	15	7
66	15	7
67	15	7
68	15	7
69	16	6
70	16	6
71	16	6
72	16	6
73	17	5
74	17	5
75	17	5
76	17	5
77	17	5
78	18	4
79	18	4
80	18	4
81	18	4
82	18	3
83	19	3
84	19	3
85	19	3
86	19	2
87	19	2
88	20	2
89	20	2
90	20	2
91	20	1
92	21	1
93	21	1
94	21	1
95	21	0
96	21	0
97	22	0
98	22	0
99	22	0
