iter	Passed	Remaining
0	59	59316
1	59	29747
2	59	19885
3	60	14948
4	60	11985
5	60	10011
6	60	8601
7	60	7549
8	61	6726
9	61	6068
10	61	5532
11	61	5084
12	61	4704
13	62	4377
14	62	4094
15	62	3847
16	62	3628
17	62	3434
18	63	3260
19	63	3104
20	63	2963
21	63	2835
22	64	2718
23	64	2612
24	64	2513
25	64	2422
26	64	2339
27	65	2261
28	65	2186
29	65	2118
30	65	2053
31	65	1993
32	66	1936
33	66	1884
34	66	1833
35	66	1786
36	66	1740
37	67	1698
38	67	1657
39	67	1619
40	67	1583
41	67	1550
42	68	1517
43	68	1485
44	68	1455
45	68	1426
46	68	1398
47	69	1371
48	69	1346
49	69	1321
50	69	1299
51	70	1276
52	70	1255
53	70	1235
54	70	1215
55	70	1195
56	71	1176
57	71	1158
58	71	1141
59	71	1123
60	71	1107
61	72	1091
62	72	1078
63	72	1066
64	73	1052
65	73	1039
66	73	1025
67	73	1013
68	74	1000
69	74	987
70	74	975
71	74	962
72	74	951
73	75	939
74	75	928
75	75	917
76	75	907
77	75	897
78	76	887
79	76	877
80	76	867
81	76	858
82	76	848
83	76	839
84	77	830
85	77	822
86	77	814
87	77	806
88	78	799
89	78	791
90	78	785
91	78	777
92	78	770
93	79	762
94	79	756
95	79	749
96	79	742
97	79	735
98	80	729
99	80	722
100	80	716
101	80	710
102	80	704
103	81	698
104	81	693
105	81	687
106	81	681
107	81	676
108	82	671
109	82	666
110	82	661
111	82	655
112	82	650
113	83	646
114	83	641
115	83	637
116	83	633
117	84	629
118	84	625
119	84	622
120	85	620
121	85	616
122	85	612
123	86	608
124	86	605
125	86	601
126	86	597
127	87	593
128	87	589
129	87	586
130	87	582
131	88	579
132	88	575
133	88	572
134	88	569
135	89	566
136	89	562
137	89	559
138	90	557
139	90	555
140	90	552
141	90	548
142	91	545
143	91	542
144	91	540
145	91	537
146	92	534
147	92	531
148	92	528
149	92	526
150	93	523
151	93	521
152	93	518
153	93	516
154	94	513
